REPORTDATE,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,NEIGHBORHOOD_ID
2/27/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montclair
8/6/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
9/18/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,hampden-south
8/19/2012,5707,CRIMINAL TRESPASSING,All Other Crimes,montbello
11/21/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
11/21/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
1/7/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,city-park-west
2/26/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,ruby-hill
7/22/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,speer
6/3/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,cole
9/8/2012,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,civic-center
9/21/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,city-park-west
9/20/2012,2399,THEFT - OTHER,Larceny,platt-park
9/20/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,globeville
11/17/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
5/30/2012,2205,BURGLARY - BUSINESS NO FORCE,Burglary,rosedale
7/9/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,rosedale
8/30/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,athmar-park
3/24/2013,1205,ROBBERY - STREET,Robbery-Street-Res,five-points
1/21/2012,1205,ROBBERY - STREET,Robbery-Street-Res,montbello
10/17/2012,2399,THEFT - OTHER,Larceny,college-view-south-platte
9/12/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,virginia-village
12/4/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sunnyside
4/6/2013,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,civic-center
6/27/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
7/11/2012,3599,DRUG - MAKE/SELL OTHER DRUG,Drug Offenses,hale
7/10/2012,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,montclair
12/6/2012,2205,BURGLARY - BUSINESS NO FORCE,Burglary,montbello
3/2/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
7/17/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-virginia-vale
7/17/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,highland
2/2/2012,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,globeville
11/29/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sunnyside
1/4/2012,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,capitol-hill
10/16/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
4/8/2013,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,virginia-village
9/23/2012,2308,THEFT - FROM BLDG,Larceny,south-park-hill
3/5/2012,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,speer
8/18/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
10/13/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,berkeley
10/5/2012,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,cherry-creek
10/22/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,villa-park
4/26/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,highland
4/26/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,virginia-village
4/23/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-virginia-vale
10/24/2012,2205,BURGLARY - BUSINESS NO FORCE,Burglary,five-points
12/6/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,union-station
